QuestionID,ExamYear,QuestionStem,CorrectAnswer,BodySystem,BodySystem_Source,BodySystem_Confidence,ClinicalCategory,BlueprintCategory,BlueprintCategory_Predicted,Blueprint_Confidence,Blueprint_Source,Subcategory,Subcat_Source,Reference,Explanation,ScoringStatus,YearLastUsed
Q2022-401,2022,"A 36-year-old female presents for evaluation of elevated blood pressure. She is asymptomatic
and does not take any medications. On examination her blood pressure is 160/96 mm Hg and
her BMI is 26 kg/m2. Fasting laboratory studies include the following:
Sodium ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€® 142 mEq/L (N 136â€“145)
Potassium ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€® 3.0 mEq/L (N 3.5â€“5.1)
Creatinine ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€® 0.76 mg/dL (N 0.6â€“1.1)
Glucoseï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€® 97 mg/dL
Which one of the following additional laboratory evaluations should be performed to assess her
blood pressure?
A) A 24-hour urine collection for 5-hydroxyindoleacetic acid (5-HIAA)
B) A serum aldosterone/renin ratio
C) A serum cortisol level
D) A serum cystatin C level

A) 
B) 
C) 
D) 
E) ",B,Cardiovascular,Extracted,1.0,Adult Medicine,,Acute Care and Diagnosis,0.35,Predicted,Pharmacology,medium,"Funder JW, Carey RM, Mantero F, et al: The management of primary aldosteronism: Case detection, diagnosis, and treatment: An Endocrine Society clinical practice guideline. J Clin Endocrinol Metab 2016;101(5):1889-1916. | Charles L, Triscott J, Dobbs B. Secondary hypertension: discovering the underlying cause. Am Fam Physician. 2017;96(7):453-461.","Primary  hyperaldosteronism  should  be  suspected  as  a  cause  for  hypertension  if  a  patient  has  a
spontaneously  low  potassium  level  or  persistent  hypertension  despite  the  use  of  three  or  more
antihypertensive medications, including a diuretic. This can be evaluated by checking a serum renin
activity level and a serum aldosterone concentration and determining the aldosterone/renin ratio. Primary
hyperaldosteronism typically presents with a very low serum renin activity level and an elevated serum
aldosterone concentration. A 24-hour urine collection for 5-hydroxyindoleacetic acid (5-HIAA) would be
used to evaluate for a neuroendocrine tumor, which can present as chronic flushing and diarrhea. Cortisol
levels can be checked if Cushing syndrome is suspected. Hypertension can be present in Cushing
syndrome, but it is typically associated with other signs such as obesity and an elevated blood glucose level
due to insulin resistance. Cystatin C is a marker of renal function and measurement would not be indicated
given this patientâ€™s normal creatinine level.
Ref: Funder JW, Carey RM, Mantero F, et al: The management of primary aldosteronism: Case detection, diagnosis, and
treatment: An Endocrine Society clinical practice guideline. J Clin Endocrinol Metab 2016;101(5):1889-1916. 2) Charles
L, Triscott J, Dobbs B: Secondary hypertension: Discovering the underlying cause. Am Fam Physician 2017;96(7):453-461.",,
Q2022-402,2022,"A 26-year-old male diagnosed with coccidioidomycosis (valley fever) develops a rash on the
extensor  surfaces  of  his  lower  legs  consisting  of  painful,  subcutaneous,  nonulcerated,
erythematous nodules. This rash is consistent with which one of the following?
A) Erythema ab igne
B) Erythema infectiosum
C) Erythema migrans
D) Erythema multiforme
E) Erythema nodosum

A) 
B) 
C) 
D) 
E) ",E,Respiratory,Extracted,1.0,Adult Medicine,,Acute Care and Diagnosis,0.474,Predicted,Diagnosis,high,"Schwartz RA, Nervi SJ: Erythema nodosum: A sign of systemic disease. Am Fam Physician 2007;75(5):695-700. | Trayes KP, Savage K, Studdiford JS: Annular lesions: Diagnosis and treatment. Am Fam Physician 2018;98(5):283-291. | Herrick KR, Trondle ME, Febles TT: Coccidioidomycosis (valley fever) in primary care. Am Fam Physician 2020;101(4):221-228.","Erythema nodosum, a panniculitis that typically affects the subcutaneous fat on the anterior surface of the
lower legs, is associated with coccidioidomycosis (valley fever) and can suggest the diagnosis. It is a
manifestation of the patientâ€™s immune response and often indicates a good prognosis. In addition to
coccidioidomycosis, it can also be associated with streptococcal infections as well as tuberculosis.
Erythema ab igne is a cutaneous rash caused by prolonged heat exposure (such as a heating pad) presenting
as an otherwise asymptomatic, red, reticulated pattern on the skin. Erythema infectiosum is associated with
parvovirus B19 infection and is usually seen in young children. It manifests as an erythematous rash of the
face (slapped cheek appearance), arms, and legs. Erythema migrans is an expanding, erythematous,
annular rash with or without central clearing and is often associated with tick exposure (Lyme disease).
Erythema multiforme consists of raised, annular, target-like lesions with central erythema and is usually
associated with herpes simplex virus type 1.
Ref: Schwartz RA, Nervi SJ: Erythema nodosum: A sign of systemic disease. Am Fam Physician 2007;75(5):695-700. 2) Trayes
KP, Savage K, Studdiford JS: Annular lesions: Diagnosis and treatment. Am Fam Physician 2018;98(5):283-291. 3) Herrick
KR, Trondle ME, Febles TT: Coccidioidomycosis (valley fever) in primary care. Am Fam Physician 2020;101(4):221-228.
1",,
Q2022-403,2022,"A 50-year-old male presents with chronic abdominal pain. A workup leads you to suspect peptic
ulcer disease, and you refer him for endoscopy, which shows a small duodenal ulcer. The
endoscopist also notes some small esophageal varices without red wale signs.
Further evaluation confirms that the patient has compensated cirrhosis in the setting of alcohol
use disorder. He readily accepts this diagnosis and enters an Alcoholics Anonymous program.
His ulcer symptoms resolve with antibiotic therapy for Helicobacter pylori. He says he has
abstained from alcohol for 6 weeks, and he would like to further reduce his risks from cirrhosis.
The most appropriate next step in the management of his esophageal varices would be
A) octreotide (Sandostatin)
B) omeprazole (Prilosec)
C) propranolol
D) endoscopic variceal ligation
E) repeat endoscopy in 1â€“2 years
1

A) 
B) 
C) 
D) 
E) ",E,Gastrointestinal,Extracted,1.0,Adult Medicine,,Chronic Care Management,0.336,Predicted,Treatment,high,"Garcia-Tsao G, Abraldes JG, Berzigotti A, Bosch J: Portal hypertensive bleeding in cirrhosis: Risk stratification, diagnosis, and management: 2016 Practice guidance by the American Association for the study of liver diseases. Hepatology 2017;65(1):310-335. | Smith A, Baumgartner K, Bositis C. Cirrhosis: diagnosis and management. Am Fam Physician. 2019;100(12):759-770.","Primary prevention of variceal hemorrhage is an important consideration in the management of patients
with cirrhosis. Although this patient's varices were diagnosed incidentally, patients with cirrhosis and
clinically  significant  portal  hypertension  should  be  screened  for  varices  every  2â€“3  years  with
esophagogastroduodenoscopy (EGD). EGD can be deferred in patients with platelet counts <150,000/mm3
and transient elastography with liver stiffness <20 kPa. Once esophageal varices are identified, the criteria
for initiating prophylaxis to prevent variceal hemorrhage is based on the risk of bleeding. Findings
associated with a high risk of bleeding include small varices in patients with decompensated cirrhosis, small
varices with red wale signs (thinning of the variceal wall), and medium to large varices. Patients with small
varices not meeting these criteria have a low risk of hemorrhage and do not require prophylaxis. They
should be rescreened with EGD every 1â€“2 years.
For patients requiring treatment due to high-risk features, options for primary prophylaxis of hemorrhage
include nonselective  -blockers such as propranolol or endoscopic variceal ligation. Treatment decisions
are based on patient preference, other potential contraindications, and local resources. The need for repeat
endoscopy in these cases will depend on the clinical circumstances. If nonselective  -blockers are used,
they should be continued indefinitely. Octreotide is only given intravenously for acute hemorrhage. There
is no evidence that omeprazole slows the progression of esophageal varices.
Ref: Garcia-Tsao G, Abraldes JG, Berzigotti A, Bosch J: Portal hypertensive bleeding in cirrhosis: Risk stratification, diagnosis,
and management: 2016 Practice guidance by the American Association for the study of liver diseases. Hepatology
2017;65(1):310-335. 2) Smith A, Baumgartner K, Bositis C: Cirrhosis: Diagnosis and management. Am Fam Physician
2019;100(12):759-770.",,
Q2022-404,2022,"An 83-year-old female with a history of Alzheimerâ€™s dementia presents with concerns about
worsening agitation in the evenings. She is accompanied by her daughter who has power of
attorney. The patient is dependent on her daughter for all instrumental activities of daily living
and requires assistance with certain core activities of daily living such as dressing and bathing.
She has no other chronic medical problems. Her daughter states that starting around 4:00 p.m.,
the  patient  becomes  increasingly  disoriented  and  agitated.  There  has  been  no  physical
aggression, but the daughter asks for medical intervention to â€œhelp calm her down.â€
Which one of the following should you recommend initiating first for the management of this
patientâ€™s symptoms?
A) Sensory stimulation including touch and music
B) Cognitive training
C) Haloperidol
D) Quetiapine (Seroquel)
E) Valproic acid

A) 
B) 
C) 
D) 
E) ",A,Psychogenic,Extracted,1.0,Care of the Elderly,,Chronic Care Management,0.308,Predicted,Pharmacology,medium,"Bahar-Fuchs A, Clare L, Woods B: Cognitive training and cognitive rehabilitation for mild to moderate Alzheimer’s disease and vascular dementia. Cochrane Database Syst Rev 2013;(6):CD003260. | Reese TR, Thiel DJ, Cocker KE: Behavioral disorders in dementia: Appropriate nondrug interventions and antipsychotic use. Am Fam Physician 2016;94(4):276-282. | Watt JA, Goodarzi Z, Veroniki AA, et al: Comparative efficacy of interventions for aggressive and agitated behaviors in dementia: A systematic review and network meta-analysis. Ann Intern Med 2019;171(9):633-642.","This patient is experiencing behavioral and psychological symptoms of dementia (BPSD) as her cognitive
and functional status decline. Evening agitation is a common form of BPSD, often referred to as
sundowning. As with most BPSD, a nonpharmacologic approach to improve agitation has much stronger
evidence for efficacy compared to a pharmacologic approach. A recent network meta-analysis showed that
sensory stimulation, including massage, touch, and music therapy, significantly outperforms pharmacologic
intervention (level of evidence 1a). Cognitive training, especially for BPSD in the context of advanced
dementia, does not have strong evidence to support its use. Pharmacologic intervention should be initiated
with caution given the potential for side effects, and should be a last resort in situations where there is a
risk of self-harm or harm to others.
Ref: Bahar-Fuchs A, Clare L, Woods B: Cognitive training and cognitive rehabilitation for mild to moderate Alzheimerâ€™s disease
and vascular dementia. Cochrane Database Syst Rev 2013;(6):CD003260. 2) Reese TR, Thiel DJ, Cocker KE: Behavioral
disorders in dementia: Appropriate nondrug interventions and antipsychotic use. Am Fam Physician 2016;94(4):276-282.
3) Watt JA, Goodarzi Z, Veroniki AA, et al: Comparative efficacy of interventions for aggressive and agitated behaviors
in dementia: A systematic review and network meta-analysis. Ann Intern Med 2019;171(9):633-642.
2",,
Q2022-405,2022,"A 62-year-old female underwent a total knee replacement 3 months ago. She has no other
surgical history and is in good health. Her dental office calls you to discuss antibiotic
prophylaxis prior to a dental cleaning.
Based on current guidelines, which one of the following would be most appropriate regarding
antibiotic prophylaxis prior to routine dental procedures in this patient?
A) No prophylaxis
B) Prophylaxis for 6 months post knee replacement
C) Prophylaxis for 1 year post knee replacement
D) Prophylaxis for 5 years post knee replacement
E) Prophylaxis for the patientâ€™s lifetime

A) 
B) 
C) 
D) 
E) ",A,Musculoskeletal,Extracted,1.0,Adult Medicine,,Chronic Care Management,0.266,Predicted,Pharmacology,high,"Herrick KR, Terrio JM, Herrick C: Medical clearance for common dental procedures. Am Fam Physician 2021;104(5):476-483.","One of the most potentially devastating late complications of joint replacement surgery is infection of the
prosthetic joint. Because dental procedures are known to induce transient bacteremia, the use of
prophylactic antibiotics prior to dental procedures for patients with prosthetic joints was considered
orthopedic dogma for many years. However, current evidence to support this practice is limited and
antibiotic use is known to increase cost, bacterial resistance, and the risk of adverse drug reactions. In most
cases the risks of antibiotic prophylaxis outweigh the likelihood of benefit. Recent guidelines from the
American Dental Association and the American Academy of Orthopaedic Surgeons recommend against
the routine use of prophylactic antibiotics for dental procedures in patients with a history of joint
replacement, except for situations in which infectious risk is increased, such as immunocompromise or a
history of a previous joint infection.
Ref: Herrick  KR,  Terrio  JM,  Herrick  C:  Medical  clearance  for  common  dental  procedures.  Am Fam Physician
2021;104(5):476-483.",,
Q2022-406,2022,"Which one of the following cardiovascular medications may lead to hyperthyroidism?
A) Amiodarone
B) Digoxin
C) Flecainide
D) Metoprolol
E) Valsartan (Diovan)
2

A) 
B) 
C) 
D) 
E) ",A,Endocrine,Extracted,1.0,Adult Medicine,,Chronic Care Management,0.371,Predicted,Pharmacology,high,McDermott MT: Hyperthyroidism. Ann Intern Med 2020;172(7):ITC49-ITC64.,"Amiodarone-induced thyrotoxicosis (AIT) is a less common cause of hyperthyroidism and can be
particularly difficult to accurately diagnose and treat. AIT type 1 is a form of iodine-induced thyrotoxicosis
caused by the high iodine content in amiodarone. AIT type 2 is a form of amiodarone-induced thyroiditis.
Digoxin, flecainide, metoprolol, and valsartan do not cause hyperthyroidism.
Ref: McDermott MT: Hyperthyroidism. Ann Intern Med 2020;172(7):ITC49-ITC64.",,
Q2022-407,2022,"An otherwise healthy 29-year-old gravida 2 para 1 at 28 weeks gestation presents to your office
with a laceration sustained while doing yard work. After thoroughly cleaning the wound, you
decide not to suture it because of the risk of infection. The patient received Tdap during her
previous pregnancy 6 years ago and you confirm in her medical records that she completed her
primary immunizations as a child.
Which one of the following would be most appropriate regarding tetanus prophylaxis?
A) No tetanus prophylaxis
B) Tetanus immune globulin now
C) Td now
D) Tdap now
E) Tdap at 38 weeks gestation

A) 
B) 
C) 
D) 
E) ",D,Nonspecific,Extracted,1.0,Maternity Care,,Acute Care and Diagnosis,0.255,Predicted,Prevention,high,"Committee Opinion No. 718 summary: Update on immunization and pregnancy: Tetanus, diphtheria, and pertussis vaccination. Obstet Gynecol 2017;130(3):668-669. | Epidemiology and prevention of vaccine-preventable diseases: Chapter 21: Tetanus. Centers for Disease Control and Prevention, 2021.","This patient needs a tetanus toxoidâ€“containing vaccine for the management of her wound. Since pregnant
people should receive a dose of Tdap between 27 and 36 weeks gestation to protect against pertussis, Tdap
is the best choice for this patient. Tetanus immune globulin would be appropriate if this patient had not
previously completed the primary series or were showing signs of clinical tetanus. Td would be an
appropriate option for tetanus prophylaxis in nonpregnant patients who have previously received Tdap.
Because this patient requires some form of tetanus prophylaxis at this time, waiting until 38 weeks to
administer Tdap is not appropriate.
Ref: Committee Opinion No. 718 summary: Update on immunization and pregnancy: Tetanus, diphtheria, and pertussis
vaccination. Obstet Gynecol 2017;130(3):668-669. 2) Epidemiology and prevention of vaccine-preventable diseases: Chapter
21: Tetanus. Centers for Disease Control and Prevention, 2021.
3",,
Q2022-408,2022,"Based on the current CDC treatment guidelines, which one of the following is recommended as
first-line treatment of urethritis in a 24-year-old male who weighs 152 kg (335 lb), when nucleic
acid amplification testing (NAAT) for gonorrhea is positive and Chlamydia testing is negative?
A) One dose of ceftriaxone, 1 g intramuscularly
B) One dose of ceftriaxone, 500 mg intramuscularly, plus one dose of azithromycin
(Zithromax), 1 g orally
C) One dose of ceftriaxone, 500 mg intramuscularly, plus doxycycline, 100 mg orally twice
daily for 7 days
D) One dose of gentamicin, 240 mg intramuscularly, plus one dose of azithromycin, 2 g
orally

A) 
B) 
C) 
D) 
E) ",A,Reproductive: Male,Extracted,1.0,Adult Medicine,,Acute Care and Diagnosis,0.388,Predicted,Pharmacology,medium,"St Cyr S, Barbee L, Workowski KA, et al: Update to CDC’s treatment guidelines for gonococcal infection, 2020. MMWR Morb Mortal Wkly Rep 2020;69(50):1911-1916. | Sell J, Nasir M, Courchesne C: Urethritis: Rapid evidence review. Am Fam Physician 2021;103(9):553-558.","In 2020, the CDC updated its treatment guidelines for gonococcal infections. The recommended first-line
therapy for patients weighing >150 kg (330 lb) with gonococcal urethritis is one dose of ceftriaxone, 1
g intramuscularly. One dose of ceftriaxone, 500 mg intramuscularly, is recommended for those weighing
<150 kg. Patients presenting with an unknown cause of urethritis, such as before urine or urethral nucleic
acid amplification test results are known, should be prescribed a combination of one dose of ceftriaxone,
500 mg intramuscularly (1 g if >150 kg), and doxycycline, 100 mg orally for 7 days. Azithromycin, 1
g orally as a single dose, may be used as an alternative to doxycycline for treatment of chlamydial
infection, but it is no longer the preferred agent in nonpregnant adults and adolescents. Intramuscular
gentamicin is inferior to intramuscular ceftriaxone for the treatment of gonorrhea, even when used in
combination with oral azithromycin (SOR B).
Ref: St Cyr S, Barbee L, Workowski KA, et al: Update to CDCâ€™s treatment guidelines for gonococcal infection, 2020. MMWR
Morb Mortal Wkly Rep 2020;69(50):1911-1916. 2) Sell J, Nasir M, Courchesne C: Urethritis: Rapid evidence review. Am
Fam Physician 2021;103(9):553-558.",,
Q2022-409,2022,"Which one of the following statements regarding hormone therapy for transgender patients is
true?
A) Hormone therapy to facilitate development of secondary sex characteristics is generally
reversible
B) Patients who receive hormone therapy generally report improved quality of life, higher
self-esteem, and decreased anxiety
C) Masculinizing hormone  therapy  is associated  with  reduced muscle mass and  fat
redistribution
D) Patients receiving feminizing hormone therapy are at increased risk for erythrocytosis

A) 
B) 
C) 
D) 
E) ",B,Patient-Based Systems,Extracted,1.0,Community Medicine,,Foundations of Care,0.302,Predicted,Counseling,medium,"Klein DA, Paradise SL, Goodwin ET: Caring for transgender and gender-diverse persons: What clinicians should know. Am Fam Physician 2018;98(11):645-653.","Hormone therapy is not required for all transgender patients, but those who receive treatment generally
report improved quality of life, higher self-esteem, and decreased anxiety. Feminizing and masculinizing
hormone therapies, including the use of estrogen and/or androgen therapies such as testosterone, are
partially irreversible. Thus, it is important to make a reasonable, educated decision and use informed
consent  prior  to  treatment.  Patients  who  receive masculinizing  therapy  are  at  increased  risk for
erythrocytosis and those who receive feminizing hormone therapy often experience reduced muscle mass
and fat redistribution.
Ref: Klein DA, Paradise SL, Goodwin ET: Caring for transgender and gender-diverse persons: What clinicians should know.
Am Fam Physician 2018;98(11):645-653.",,
Q2022-410,2022,"A 42-year-old female presents with a 2-day history of a rash on her neck along her hairline
(shown below). Which one of the following is the most likely diagnosis?
A) Atopic dermatitis
B) Contact dermatitis
C) Psoriasis
D) Seborrheic dermatitis
3
Item #10
4

A) 
B) 
C) 
D) 
E) ",B,Integumentary,Extracted,1.0,Adult Medicine,,Acute Care and Diagnosis,0.413,Predicted,Diagnosis,high,"Usatine RP, Riojas M: Diagnosis and management of contact dermatitis. Am Fam Physician 2010;82(3):249-255. | Habif TP, Dinulos JGH, Chapman MS, Zug KA: Skin Disease: Diagnosis and Treatment, ed 4. Elsevier, 2018, pp 45-50.","Nickel allergy is a common form of contact dermatitis. In this case, the rash is being caused by earrings
rubbing the patientâ€™s neck. The inflammation of the earlobe is another clue to the diagnosis. While atopic
dermatitis, psoriasis, and seborrheic dermatitis could affect the neck along the hairline, this patientâ€™s rash
is much less consistent with these conditions.
Ref: Usatine RP, Riojas M: Diagnosis and management of contact dermatitis. Am Fam Physician 2010;82(3):249-255. 2) Habif
TP, Dinulos JGH, Chapman MS, Zug KA: Skin Disease: Diagnosis and Treatment, ed 4. Elsevier, 2018, pp 45-50.
4",,
