QuestionID,ExamYear,QuestionStem,CorrectAnswer,BodySystem,BodySystem_Source,BodySystem_Confidence,ClinicalCategory,BlueprintCategory,BlueprintCategory_Predicted,Blueprint_Confidence,Blueprint_Source,Subcategory,Subcat_Source,Reference,Explanation,ScoringStatus,YearLastUsed
Q2023-601,2023,"A 45-year-old female presents to the emergency department with a 1-week history of facial
swelling  and  progressive  dyspnea  with  exertion.  She  was  diagnosed  1  week  ago  with
non-Hodgkin lymphoma but her medical history is otherwise unremarkable. A chest radiograph
is shown below.
After hospital admission, which one of the following would be the most appropriate urgent next
step in the management of this condition?
A) Intravenous antibiotics
B) Echocardiography
C) Plasmapheresis
D) Bronchoscopy
E) Radiation

A) 
B) 
C) 
D) 
E) ",E,Cardiovascular,Extracted,1.0,Emergent & Urgent Care,,Emergent and Urgent Care,0.668,Predicted,Treatment,high,"Higdon ML, Atkinson CJ, Lawrence KV: Oncologic emergencies: Recognition and initial management. Am Fam Physician 2018;97(11):741-748. | Zimmerman S, Davis M. Rapid fire: superior vena cava syndrome. Emerg Med Clin North Am. 2018;36(3):577-584.","Because of the prevalence of cancer in the United States, it is important for family physicians to recognize
oncologic emergencies. This patient presents with signs and symptoms related to superior vena cava
syndrome, which is caused by compression of the superior vena cava. This is most often caused by lung
cancer or lymphoma, but it can also be related to indwelling catheters, lymph nodes, or metastatic tumors.
After ensuring that the patient is hospitalized and stable, the initial treatment options include intravenous
corticosteroids, chemotherapy, radiation, and occasionally intravascular stenting.
This condition is not the result of an infection, so antibiotics would not be appropriate. Hyperviscosity
syndrome is another oncologic emergency associated with leukemia, multiple myeloma, and WaldenstrÃ¶m
macroglobulinemia.  It  is  treated  with  chemotherapy  and  plasmapheresis.  Echocardiography  and
bronchoscopy are not indicated in the initial management of superior vena cava syndrome.
Ref: Higdon ML, Atkinson CJ, Lawrence KV. Oncologic emergencies: recognition and initial management. Am Fam Physician.
2018;97(11):741-748. 2) Zimmerman S, Davis M. Rapid fire: superior vena cava syndrome. Emerg Med Clin North Am.
2018;36(3):577-584.",,
Q2023-602,2023,"A 22-year-old male presents for follow-up of moderate persistent asthma. After discussing his
treatment options, you decide to use a single maintenance and reliever therapy (SMART)
approach.
Which one of the following daily inhaled therapies is appropriate to prescribe in this setting?
A) Budesonide (Pulmicort)
B) Budesonide/formoterol (Symbicort)
C) Fluticasone/salmeterol (Advair Diskus)
D) Fluticasone/vilanterol (Breo Ellipta)
E) Tiotropium/olodaterol (Stiolto Respimat)

A) 
B) 
C) 
D) 
E) ",B,Respiratory,Extracted,1.0,Adult Medicine,,Chronic Care Management,0.453,Predicted,Pharmacology,medium,"Cloutier MM, Dixon AE, Krishnan JA, Lemanske RF Jr, Pace W, Schatz M. Managing asthma in adolescents and adults: 2020 asthma guideline update from the National Asthma Education and Prevention Program. JAMA. 2020;324(22):2301-2317.","In the single maintenance and reliever therapy (SMART) approach for asthma control, combination therapy
with an inhaled corticosteroid and a long-acting bronchodilator is used as both controller and rescue
medication. SMART is recommended as the preferred therapeutic approach in steps 3 and 4 in the 2020
National Asthma Education and Prevention Program guidelines. Formoterol is the only medication
available in the United States recommended for use in SMART therapy due to its rapid onset of action.
Budesonide monotherapy, fluticasone/salmeterol, fluticasone/vilanterol, and tiotropium/olodaterol are not
appropriate options for SMART in asthma control.
Ref: Cloutier MM, Dixon AE, Krishnan JA, Lemanske RF Jr, Pace W, Schatz M. Managing asthma in adolescents and adults:
2020  asthma  guideline  update  from  the  National  Asthma  Education  and  Prevention  Program.  JAMA.
2020;324(22):2301-2317.",,
Q2023-603,2023,"Which one of the following is an indication for long-term, rather than short-term, proton pump
inhibitor therapy?
A) The eradication of Helicobacter pylori
B) Gastroprotection in users of high-dose NSAIDs at high risk for gastrointestinal bleeding
C) The prevention of rebleeding from a Mallory-Weiss tear
D) The prevention of ulcers after band ligation of esophageal varices
E) The treatment of an NSAID-related gastric ulcer

A) 
B) 
C) 
D) 
E) ",B,Gastrointestinal,Extracted,1.0,Adult Medicine,,Chronic Care Management,0.295,Predicted,Pharmacology,medium,"Targownik LE, Fisher DA, Saini SD. AGA clinical practice update on de-prescribing of proton pump inhibitors: expert review. Gastroenterology. 2022;162(4):1334-1342.","Proton pump inhibitors (PPIs) are some of the most commonly used prescription or over-the-counter
medications. However, many patients do not have a clear indication for their use, leading to situations in
which the risks may outweigh the benefits. In 2022 the American Gastroenterological Association
published 10 best practice statements to assist clinicians in addressing this issue. Key recommendations
include regular review and documentation of the indication for any ongoing PPI use, and to consider
discontinuing PPIs for any patient without a clear indication. Strategies for PPI discontinuation include
tapering or abrupt discontinuation. Rebound acid hypersecretion can lead to a temporary increase in
symptoms in either approach. If deprescribing is attempted but not tolerated, patients may reasonably be
continued on the lowest effective dose. Possible risks, mostly reported in retrospective rather than
prospective studies, include an increased incidence of chronic kidney disease, fractures, dementia, and
respiratory infections, including COVID-19.
 1
While many patients remain on long-term PPI therapy without a clear indication, in some situations the
benefits of PPIs do clearly outweigh the risks. Such indications include Barrett esophagus, severe erosive
esophagitis, eosinophilic esophagitis, and high risk for upper gastrointestinal (GI) bleeding. Risk factors
for GI bleeding include prior ulcer, age >65, high-dose NSAID therapy, or concurrent use of aspirin,
corticosteroids, or anticoagulants. Such patients should be advised to use PPIs indefinitely. PPIs are
recommended for short-term use for eradication of Helicobacter pylori and treatment of NSAID-induced
gastric ulcers. They may also be considered as adjunctive short-term therapy in Mallory-Weiss tears and
after sclerotherapy or band ligation treatment of esophageal varices. None of these are indications for
long-term use in the absence of other indications.
Ref: Targownik LE, Fisher DA, Saini SD. AGA clinical practice update on de-prescribing of proton pump inhibitors: expert
review. Gastroenterology. 2022;162(4):1334-1342.",,
Q2023-604,2023,"An 85-year-old male presents for an annual Medicare examination. His wife tells you that he has
been repeating himself in conversations, buying the same item multiple times, and taking longer
to complete routine tasks such as balancing the checkbook. He recalls 1 out of 3 items on the
Mini-Cognitive Assessment Instrument (Mini-Cog) and is unable to draw a clock. A depression
screening is negative.
Which one of the following is the greatest risk factor for this patientâ€™s condition?
A) Advanced age
B) Atrial fibrillation
C) Diabetes mellitus
D) A history of head trauma
E) Smoking
1
Item #1
2

A) 
B) 
C) 
D) 
E) ",A,Psychogenic,Extracted,1.0,Care of the Elderly,,Chronic Care Management,0.278,Predicted,Prognosis/Risk,high,"Falk N, Cole A, Meredith TJ. Evaluation of suspected dementia. Am Fam Physician. 2018;97(6):398-405.","Dementia is a significant condition affecting 5 million adults and that number is likely to expand in the
future due to the increasing number of individuals over age 65. The overall prevalence of dementia is
around 5%, but it is 37% in those over age 90. Sixty percent to 80% of dementia is due to Alzheimer
disease. The greatest risk factor for dementia is older age. Strong risk factors include diabetes mellitus,
midlife obesity, a family history of dementia, a personal history of cardiovascular disease, cerebrovascular
disease, use of anticholinergic medications, apolipoprotein E4 genotype, and a low education level. Other
potential risk factors that lack strong evidence include atrial fibrillation, smoking, head trauma, substance
abuse such as alcohol use disorder, and medications such as benzodiazepines and proton pump inhibitors.
Ref: Falk N, Cole A, Meredith TJ. Evaluation of suspected dementia. Am Fam Physician. 2018;97(6):398-405.",,
Q2023-605,2023,"Which one of the following would be the most appropriate initial pharmacotherapy for a
temporomandibular disorder in an otherwise healthy 54-year-old male?
A) Amitriptyline, 25 mg at bedtime
B) Gabapentin (Neurontin), 300 mg daily
C) Naproxen, 500 mg twice daily
D) Tramadol, 50 mg every 6 hours
E) Corticosteroid injection into the temporomandibular joint

A) 
B) 
C) 
D) 
E) ",C,Musculoskeletal,Extracted,1.0,Adult Medicine,,Chronic Care Management,0.458,Predicted,Pharmacology,medium,"Matheson EM, Fermo JD, Blackwelder RS. Temporomandibular disorders: rapid evidence review. Am Fam Physician. 2023;107(1):52-58.","The initial first-line pharmacologic therapy for temporomandibular disorders is naproxen. Cyclobenzaprine
may also be added if there is evidence of muscle spasm (A recommendation). If this is unsuccessful, other
options include a trial of amitriptyline or gabapentin. Opioid therapy is not appropriate first-line treatment
for temporomandibular disorders. Corticosteroid injections should be avoided due to potential cartilage
damage (B recommendation).
Ref: Matheson EM, Fermo JD, Blackwelder RS. Temporomandibular disorders: rapid evidence review. Am Fam Physician.
2023;107(1):52-58.
 2",,
Q2023-606,2023,"A 33-year-old female presents to your office concerned about feeling fatigued for the past few
months. She says that she feels cold often, has intermittent joint discomfort, and has gained 5
lb. She has not experienced any pain or problems swallowing. She gave birth to her youngest
child almost 3 years ago, and she recently started an oral contraceptive. She has not had any
recent illnesses. Her family history is significant for rheumatoid arthritis.
A physical examination reveals a mild goiter but is otherwise unremarkable. Her vital signs are
stable. A CBC and comprehensive metabolic panel are normal. A TSH level is 6.48  U/mL (N

A) 
B) 
C) 
D) 
E) ",B,Endocrine,Extracted,1.0,Adult Medicine,,Acute Care and Diagnosis,0.348,Predicted,Pharmacology,medium,"Martinez Quintero B, Yazbeck C, Sweeney LB. Thyroiditis: evaluation and treatment. Am Fam Physician. 2021;104(6):609-617.","Thyroiditis, a general term for inflammation of the thyroid gland, is associated with thyroid gland
dysfunction. It is classified based on clinical symptoms: painless or painful, acute or subacute, and
underlying etiology (medication-induced, infection, radiation-induced, or autoimmune). The most common
forms of thyroiditis include Hashimoto, subacute, and postpartum. Thyroiditis often results in a triphasic
disease pattern of thyroid dysfunction: hyperthyroidism due to the release of preformed thyroid hormone
from damaged thyroid cells followed by hypothyroidism when the thyroid stores are depleted. Eventually
normal thyroid function is restored, or the patient develops permanent hypothyroidism. This patient
presents with symptoms commonly seen in thyroid disease. Further testing reveals elevated TSH and
thyroid peroxidase (TPO) levels. Elevated TPO levels are found in 95% of patients with Hashimoto
thyroiditis. In addition, this patientâ€™s family history includes rheumatoid arthritis, another autoimmune
disease, making Hashimoto thyroiditis the most likely diagnosis. Treatment is lifelong thyroid hormone
therapy.
Several medications are linked to thyroiditis, including lithium, amiodarone, interferon-alfa, interleukin-2,
immune checkpoint inhibitors, and tyrosine kinase inhibitors. However, there is no proven link between
oral contraceptives and Hashimoto thyroiditis. Postpartum thyroiditis occurs within 1 year of delivery,
miscarriage, or medical abortion, not 2â€“3 years. Subacute thyroiditis is self-limited and often occurs after
upper respiratory infections, causing thyroid pain and dysphagia due to inflammatory destruction of thyroid
follicles.
Ref: Martinez  Quintero  B,  Yazbeck  C,  Sweeney  LB.  Thyroiditis:  evaluation  and  treatment.  Am  Fam  Physician.
2021;104(6):609-617.",,
Q2023-607,2023,"A first-time mother brings her 12-month-old to your office for a well child check. She and the
childâ€™s father are both your patients as well. Upon routine screening for anemia, you discover
the infant has microcytic anemia with elevated red cell distribution width. You ask the parent
about the childâ€™s diet. She looks down at the floor, exhibiting poor eye contact and a flat affect,
and responds that she does not shop or cook often. She says the child is happy when eating just
applesauce and milk. The mother reports that she has been unmotivated and crying frequently.
In addition to checking the childâ€™s lead level and starting iron supplementation, which one of the
following would be the most important next step to help this dyad?
A) Providing reassurance and validation for the mother
B) Educating the mother about nutrition and the importance of iron-rich foods for the child
C) Notifying the childâ€™s father
D) Evaluating and treating the mother for postpartum depression
E) Referring the mother to a psychiatrist
3

A) 
B) 
C) 
D) 
E) ",D,Nonspecific,Extracted,1.0,Adult Medicine,,Preventive Care,0.28,Predicted,Management,high,"Weinfield NS, Anderson CE. Postpartum symptoms of depression are related to infant feeding practices in a national WIC sample. J Nutr Educ Behav. 2022;54(2):118-124.","Postpartum depression is common and patients who have given birth should be screened for a minimum
of 1 year. A mother who knows what to feed an infant may have trouble executing it because of severe
postpartum depression, leading to poor infant feeding practices. In this case, the provider will be more
likely to successfully treat the childâ€™s anemia by treating the motherâ€™s postpartum depression.
While mothers with depression often need encouragement and support, false reassurance is paternalistic
and potentially harmful. Education of the mother is sometimes useful, but studies have demonstrated that
the more likely barrier to implementing her knowledge is not a need for education on infant nutrition, but
rather severe depression or other psychosocial barriers. It is ideal to involve all caretakers in efforts to
support a childâ€™s health, but a number of steps need to be taken prior to calling the father, including
screening for domestic violence, checking on HIPAA consents, and asking about custody. Referring the
mother to a psychiatrist may ultimately be helpful but puts unnecessary barriers in place for the testing and
treatment of postpartum depression.
Ref: Weinfield NS, Anderson CE. Postpartum symptoms of depression are related to infant feeding practices in a national WIC
sample. J Nutr Educ Behav. 2022;54(2):118-124.
 3",,
Q2023-608,2023,"A 52-year-old male presents to your office for a routine annual health maintenance examination.
He has a past medical history of hypertension and well-controlled type 2 diabetes with a
hemoglobin A  of 6.6%. He is also a chronic tobacco smoker. He requests screening for
1c
testicular cancer because his close friend recently died from the disease. Other than colon cancer
in his adoptive father, there is no known family history of cancer.
Which one of the following is indicated for testicular cancer screening for this patient?
A) No screening
B) An  -fetoprotein level
C) Scrotal ultrasonography now
D) Scrotal ultrasonography at age 55
E) CT of the abdomen and pelvis at age 55

A) 
B) 
C) 
D) 
E) ",A,Reproductive: Male,Extracted,1.0,Adult Medicine,,Preventive Care,0.485,Predicted,Screening,high,"US Preventive Services Task Force. Final recommendation statement: testicular cancer: screening. Updated April 15, 2011. | Baird DC, Meyers GJ, Hu JS. Testicular cancer: diagnosis and treatment. Am Fam Physician. 2018;97(4):261-268.","Although testicular cancer is the most common solid cancer in men ages 15â€“34, with effective treatment
and an overall survival rate of 97%, the U.S. Preventive Services Task Force recommends against
screening for testicular cancer in asymptomatic adolescent or adult males (D recommendation).
A detailed history and physical examination should be obtained in symptomatic patients, followed by
scrotal ultrasonography if there are positive findings on history and physical examination. Tumor markers
and CT of the abdomen and pelvis are required for staging, treatment recommendations, and surveillance,
but not for screening purposes.
Ref: US Preventive Services Task Force. Final recommendation statement: testicular cancer: screening. Updated April 15, 2011.
2) Baird DC, Meyers GJ, Hu JS. Testicular cancer: diagnosis and treatment. Am Fam Physician. 2018;97(4):261-268.",,
Q2023-609,2023,"An 82-year-old female in your palliative care service who has stage 4 breast cancer is
experiencing frequent episodes of delirium. Her pain is well controlled on long-acting oral opioid
therapy. Additionally, no other reversible causes of delirium are noted. Her delirium is not
responding to conservative measures, and her family asks if there are any medications that can
effectively manage her symptoms.
Which one of the following should you recommend?
A) Alprazolam (Xanax)
B) Diazepam (Valium)
C) Melatonin
D) Risperidone (Risperdal)

A) 
B) 
C) 
D) 
E) ",D,Patient-Based Systems,Extracted,1.0,Adult Medicine,,Foundations of Care,0.256,Predicted,Management,high,Albert RH: End-of-life care: Managing common symptoms. Am Fam Physician 2017;95(6):356-361.,"The first step in managing delirium in end-of-life care is to assess for any reversible or treatable causes,
including uncontrolled pain, constipation, urinary retention, infections (e.g., urinary tract infections), and
medication side effects. Antipsychotic medications, such as haloperidol and risperidone, are recommended
if conservative measures fail to control the symptoms of delirium. Benzodiazepines should be used with
caution as they can worsen delirium, especially in older patients. Melatonin is not indicated in the
management of delirium.
Ref: Albert RH. End-of-life care: managing common symptoms. Am Fam Physician. 2017;95(6):356-361.",,
Q2023-610,2023,"A Black female presents with multiple insect bites on her arms and legs. This patient is at risk
for developing which one of the following conditions?
A) Acanthosis nigricans
B) Acne keloidalis nuchae
C) Dermatosis papulosa nigra
D) Melasma
E) Postinflammatory hyperpigmentation
4

A) 
B) 
C) 
D) 
E) ",E,Integumentary,Extracted,1.0,Adult Medicine,,Acute Care and Diagnosis,0.3,Predicted,Screening,medium,"Frazier WT, Proddutur S, Swope K. Common dermatologic conditions in skin of color. Am Fam Physician. 2023;107(1):26-34.","Patients  with  dark  skin  are  at  greater  risk  for  postinflammatory  hyperpigmentation,  a  reactive
hypermelanosis. These are irregular hyperpigmented macules or patches that can occur after endogenous
inflammation (e.g., acne vulgaris, pseudofolliculitis barbae, atopic dermatitis, lichen planus, psoriasis,
contact dermatitis) and external injuries (e.g., insect bites, chemical peels, cryotherapy, laser surgery).
This condition can occur at any age and is particularly noticeable in Fitzpatrick skin phototypes III, IV,
V, and VI. Fitzpatrick skin phototype is used to classify the skin color spectrum and is based on an
individualâ€™s propensity for sunburn (photodermatitis). It is not a surrogate marker for race or ethnicity.
Broad-spectrum, water-based sunscreen with SPF ï‚³30 should be used to prevent postinflammatory
hyperpigmentation (SOR C). Sunscreen that blocks visible light such as iron oxide is also useful.
Acanthosis nigricans, acne keloidalis nuchae, dermatosis papulosa nigra, and melasma are conditions that
are also more common in skin of color. However, they are not related to external injuries such as insect
bites. Acanthosis nigricans are usually on the posterior neck, axillae, and groin. These are velvety,
irregularly defined, hyperpigmented patches. Acne keloidalis nuchae occur in the nuchal and occipital
scalp. These are keloid-like papules, plaques, and cicatricial alopecia. Dermatosis papulosa nigra is usually
on the face and neck. They are hyperpigmented, filiform, or sessile papules. Melasma are gray-brown
patches that usually occur on the face.
 4
Ref: Frazier WT, Proddutur S, Swope K. Common dermatologic conditions in skin  of  color.  Am Fam Physician.
2023;107(1):26-34.",,
