QuestionID,ExamYear,QuestionStem,CorrectAnswer,BodySystem,BodySystem_Source,BodySystem_Confidence,ClinicalCategory,BlueprintCategory,BlueprintCategory_Predicted,Blueprint_Confidence,Blueprint_Source,Subcategory,Subcat_Source,Reference,Explanation,ScoringStatus,YearLastUsed
Q2020-001,2020,"A 42-year-old Asian male presents for follow-up of elevated blood pressure. He has no
additional  chronic  medical  problems and  is  otherwise  asymptomatic.  An examination is
significant for a blood pressure of 162/95 mm Hg but is otherwise unremarkable.
Laboratory Findings
Sodium  138 mEq/L (N 135â€“145)
Potassium 3.9 mEq/L (N 3.5â€“5.5)
Fasting glucose 86 mg/dL
BUN  14 mg/dL (N 10â€“20)
Creatinine  0.6 mg/dL (N 0.6â€“1.3)
Urine microalbumin negative
According to the American College of Cardiology/American Heart Association 2017 guidelines,
which one of the following would be the most appropriate medication to initiate at this time?
A) Clonidine (Catapres), 0.1 mg twice daily
B) Hydralazine, 25 mg three times daily
C) Lisinopril/hydrochlorothiazide (Zestoretic), 10/12.5 mg daily
D) Metoprolol tartrate (Lopressor), 25 mg twice daily
E) Triamterene (Dyrenium), 50 mg daily

A) 
B) 
C) 
D) 
E) ",C,Cardiovascular,Predicted,1.128,,,Chronic Care Management,0.325,Predicted,Pharmacology,high,"Smith DK, Lennon RP, Carlsgaard PB: Managing hypertension using combination therapy. Am Fam Physician 2020;101(6):341-349.","This patient has hypertension and according to both JNC 8 and American College of Cardiology/American
Heart Association 2017 guidelines, antihypertensive treatment should be initiated. For the general
nonâ€“African-American population, monotherapy with an ACE inhibitor, an angiotensin receptor blocker,
a calcium channel blocker, or a thiazide diuretic would be appropriate for initial management. It is also
appropriate to initiate combination antihypertensive therapy as an initial management strategy, although
patients should not take an ACE inhibitor and an angiotensin receptor blocker simultaneously. Studies have
shown that blood pressure control is achieved faster with the initiation of combination therapy compared
to monotherapy, without an increase in morbidity. Lisinopril/hydrochlorothiazide would be an appropriate
choice in this patient.  -Blockers, vasodilators,  -blockers, and potassium-sparing diuretics are not
recommended as initial choices for the treatment of hypertension.
Ref: Smith DK, Lennon RP, Carlsgaard PB: Managing hypertension using combination therapy. Am Fam Physician
2020;101(6):341-349.",,
Q2020-002,2020,"During rounds at the nursing home, you are informed that there are two residents on the unit
with laboratory-confirmed influenza. According to CDC guidelines, who should receive
chemoprophylaxis for influenza?
A) Only symptomatic residents on the same unit
B) Only symptomatic residents in the entire facility
C) All asymptomatic residents on the same unit
D) All residents of the facility regardless of symptoms
E) All staff regardless of symptoms

A) 
B) 
C) 
D) 
E) ",C,Respiratory,Predicted,1.084,,,Acute Care and Diagnosis,0.451,Predicted,Prevention,high,"Influenza (flu): Interim guidance for influenza outbreak management in long-term care and post-acute care facilities. Centers for Disease Control and Prevention, 2019. | Gaitonde DY, Moore FC, Morgan MK: Influenza: Diagnosis and treatment. Am Fam Physician 2019;100(12):751-758.","In long-term care facilities, an influenza outbreak is defined as two laboratory-confirmed cases of influenza
within  72  hours  in  patients  on  the  same  unit.  The  CDC  recommends  chemoprophylaxis  for  all
asymptomatic residents of the affected unit. Any resident exhibiting symptoms of influenza should be
treated for influenza and not given chemoprophylaxis dosing. Chemoprophylaxis is not recommended for
residents of other units unless there are two laboratory-confirmed cases in those units. Facility staff of the
affected unit can be considered for chemoprophylaxis if they have not been vaccinated or if they had a
recent vaccination, but chemoprophylaxis is not recommended for all staff in the entire facility.
Ref: Influenza (flu): Interim guidance for influenza outbreak management in long-term care and post-acute care facilities. Centers
for Disease Control and Prevention, 2019. 2) Gaitonde DY, Moore FC, Morgan MK: Influenza: Diagnosis and treatment.
Am Fam Physician 2019;100(12):751-758.",,
Q2020-003,2020,"A 24-year-old female presents with a 2-day history of mild to moderate pelvic pain. She has had
two male sex partners in the last 6 months and uses oral contraceptives and sometimes condoms.
A physical examination reveals a temperature of 36.4Â°C (97.5Â°F) and moderate cervical motion
and uterine tenderness. Urine hCG and a urinalysis are negative. Vaginal microscopy shows only
WBCs.
The initiation of antibiotics for treatment of pelvic inflammatory disease in this patient
A) is appropriate at this time
B) requires an elevated temperature, WBC count, or C-reactive protein level
C) should be based on the results of gonorrhea and Chlamydia testing
D) should be based on the results of pelvic ultrasonography
1

A) 
B) 
C) 
D) 
E) ",A,Gastrointestinal,Predicted,1.075,,,Acute Care and Diagnosis,0.45,Predicted,Pharmacology,medium,"Brunham RC, Gottlieb SL, Paavonen J: Pelvic inflammatory disease. N Engl J Med 2015;372(21):2039-2048.","Pelvic inflammatory disease (PID) is a clinical diagnosis, and treatment should be administered at the time
of diagnosis and not delayed until the results of the nucleic acid amplification testing (NAAT) for
gonorrhea and Chlamydia are returned. The clinical diagnosis is based on an at-risk woman presenting with
lower abdominal or pelvic pain, accompanied by cervical motion, uterine, or adnexal tenderness that can
range from mild to severe. There is often a mucopurulent discharge or WBCs on saline microscopy. Acute
phase indicators such as fever, leukocytosis, or an elevated C-reactive protein level may be helpful but are
neither sensitive nor specific. A positive NAAT is not required for diagnosis and treatment because an
upper tract infection may be present, or the causative agent may not be gonorrhea or Chlamydia. PID
should be considered a polymicrobial infection. Pelvic ultrasonography may be used if there is a concern
about other pathology such as a tubo-ovarian abscess.
Ref: Brunham RC, Gottlieb SL, Paavonen J: Pelvic inflammatory disease. N Engl J Med 2015;372(21):2039-2048.
1",,
Q2020-004,2020,"A 24-year-old patient wants to start the process of transitioning from female to male. He has
been working with a psychiatrist who has confirmed the diagnosis of gender dysphoria.
Which one of the following would be the best initial treatment for this patient?
A) Clomiphene
B) Letrozole (Femara)
C) Leuprolide (Eligard)
D) Spironolactone (Aldactone)
E) Testosterone

A) 
B) 
C) 
D) 
E) ",E,Endocrine,Predicted,1.072,,,Chronic Care Management,0.504,Predicted,Treatment,high,"Hembree WC, Cohen-Kettenis PT, Gooren L, et al: Endocrine treatment of gender-dysphoric/gender-incongruent persons: An Endocrine Society clinical practice guideline. J Clin Endocrinol Metab 2017;102(11):3869-3903. | Wilkes J: Gender-dysphoric/gender-incongruent persons: Treatment recommendations from the Endocrine Society. Am Fam Physician 2018;97(9):608-609.","For patients with gender dysphoria or gender incongruence who desire hormone treatment, the treatment
goal is to suppress endogenous sex hormone production and maintain sex hormone levels in the normal
range for their affirmed gender. For a female-to-male transgender patient this is most easily accomplished
with testosterone. When testosterone levels are maintained in the normal genetic male range, gonadotropins
and ovarian hormone production is suppressed, which accomplishes both goals for hormonal treatment
without the need for additional gonadotropin suppression from medications such as leuprolide.
Clomiphene can increase serum testosterone levels, but only in the presence of a functioning testicle.
Letrozole is an estrogen receptor antagonist, but it would not increase serum testosterone levels.
Spironolactone has androgen receptor blocking effects and would not accomplish either of the hormone
treatment goals.
Ref: Hembree WC, Cohen-Kettenis PT, Gooren L, et al: Endocrine treatment of gender-dysphoric/gender-incongruent persons:
An Endocrine Society clinical practice guideline. J Clin Endocrinol Metab 2017;102(11):3869-3903. 2) Wilkes J:
Gender-dysphoric/gender-incongruent persons: Treatment recommendations from the Endocrine Society. Am Fam Physician
2018;97(9):608-609.",,
Q2020-005,2020,"Based on American Cancer Society guidelines for cervical cancer screening, when should HPV
DNA co-testing first be performed along with Papanicolaou testing?
A) At the onset of sexual activity
B) At age 21
C) At age 25
D) At age 30
E) At age 35

A) 
B) 
C) 
D) 
E) ",D,Gastrointestinal,Predicted,1.06,,,Preventive Care,0.551,Predicted,Workup,high,Lambert M: Cancer screening recommendations from the ACS: A summary of the 2017 guidelines. Am Fam Physician 2018;97(3):208-210.,"According to American Cancer Society guidelines for cervical cancer screening, Papanicolaou (Pap) testing
should begin at age 21 irrespective of sexual activity and should be continued every 3 years until age 29.
The preferred screening strategy beginning at age 30 is Pap testing with HPV co-testing, which should be
continued every 5 years until age 65. Cervical screening may be discontinued at that time if the patientâ€™s
last two tests have been negative and the patient was tested within the previous 5 years.
Ref: Lambert M: Cancer screening recommendations from the ACS: A summary of the 2017 guidelines. Am Fam Physician
2018;97(3):208-210.",,
Q2020-006,2020,"Long-term proton pump inhibitor use is associated with an increased risk for
A) Barrettâ€™s esophagus
B) gout
C) hypertension
D) pneumonia
E) type 2 diabetes

A) 
B) 
C) 
D) 
E) ",D,Gastrointestinal,Predicted,1.021,,,Emergent and Urgent Care,0.332,Predicted,Prognosis/Risk,medium,"Mandell LA, Niederman MS: Aspiration pneumonia. N Engl J Med 2019;380(7):651-663.","Acid suppression therapy  is associated with an increased risk of community-acquired and health
careâ€“associated pneumonia, which is related to gastric overgrowth by gram-negative bacteria. Long-term
treatment of Barrettâ€™s esophagus is an indication for chronic proton pump inhibitor (PPI) use. PPI therapy
does not increase the risk of gout, hypertension, or type 2 diabetes.
Ref: Mandell LA, Niederman MS: Aspiration pneumonia. N Engl J Med 2019;380(7):651-663.
2",,
Q2020-007,2020,"An 87-year-old female comes to your office for an annual health maintenance visit. She appears
cachectic and tells you that for the past 6 months she has had a decreased appetite and
generalized muscle weakness. The patient is alert and oriented to person and place. She has a
10% weight loss, dry mucous membranes, and tenting of the skin on the extensor surface of her
hands. While inflating the blood pressure cuff on her right arm you observe carpopedal spasms.
Which one of the following is the most likely electrolyte disturbance?
A) Hypercalcemia
B) Hypocalcemia
C) Hypokalemia
D) Hypernatremia
E) Hyponatremia
2

A) 
B) 
C) 
D) 
E) ",B,Nonspecific,Predicted,1.153,,,Chronic Care Management,0.274,Predicted,Diagnosis,low,"Larson ST, Wilbur J: Muscle weakness in adults: Evaluation and differential diagnosis. Am Fam Physician 2020;101(2):95-108.","A Trousseau sign, defined as spasmodic contraction of muscles caused by pressure on the nerves that
control them, is present in up to 94% of patients with hypocalcemia. Hypercalcemia is more likely to
present with hyperreflexia. Patients with hypokalemia, hypernatremia, or hyponatremia may present with
weakness and confusion, but tetany is not a common sign of either sodium or potassium imbalance.
Ref: Larson  ST,  Wilbur  J:  Muscle  weakness  in  adults:  Evaluation  and  differential  diagnosis.  Am Fam Physician
2020;101(2):95â€“108.",,
Q2020-008,2020,"A 24-year old female presents to your office with a 3-month history of difficulty sleeping. She
says that she struggles to fall asleep and wakes up multiple times at night at least three times a
week. She tries to go to bed at 10:00 p.m. and wakes up at 6:30 a.m. to start her day. She lies
awake for an hour in bed before falling asleep and spends up to 2 hours awake in the middle of
the night trying to fall back asleep. Lately she has been feeling fatigued and having difficulty
concentrating at work. You conduct a full history and physical examination and tell her to return
in 2 weeks with a sleep diary. At this follow-up visit you see from her diary that she is sleeping
an average of 5Â½ hours per night.
Which one of the following would be the most appropriate recommendation?
A) Set her alarm for 5:30 a.m.
B) Add a mid-afternoon nap
C) Move her bedtime to 9:00 p.m.
D) Move her bedtime to 12:30 a.m.
E) Stay up for an hour if she wakes up at 3:00 a.m.

A) 
B) 
C) 
D) 
E) ",D,Psychogenic,Predicted,1.075,,,Chronic Care Management,0.357,Predicted,Management,high,"Troxel WM, Germain A, Buysse DJ: Clinical management of insomnia with brief behavioral treatment (BBTI). Behav Sleep Med 2012;10(4):266-279. | Maness DL, Khan M: Nonpharmacologic management of chronic insomnia. Am Fam Physician 2015;92(12):1058-1064. | Hooker S, Punjabi A, Justesen K, et al: Encouraging health behavior change: Eight evidence-based strategies. Fam Pract Manag 2018;25(2):31-36.","This patient presents with symptoms of chronic insomnia. Cognitive-behavioral therapy for insomnia
(CBT-I) and brief behavioral therapy for insomnia (BBT-I) are effective nonpharmacologic treatments for
chronic insomnia. Modified CBT-I and BBT-I can be administered by a primary care physician. The basic
principles include stimulus control (sleep hygiene) and sleep restriction. Reducing time in bed increases
sleep efficiency. In this case, 6 hours of time in bed would improve the patientâ€™s sleep efficiency and a
bedtime of 12:30 a.m. would accomplish this goal. Generally, reduced time in bed is accomplished by
postponing bedtime rather than getting up earlier. Naps generally do not improve sleep efficiency. While
getting out of bed is recommended after being in bed for 30 minutes without falling asleep, or being awake
for 30 minutes after being asleep, staying up for a prescribed period of time is not recommended.
Ref: Troxel WM, Germain A, Buysse DJ: Clinical management of insomnia with brief behavioral treatment (BBTI). Behav Sleep
Med 2012;10(4):266-279. 2) Maness DL, Khan M: Nonpharmacologic management of chronic insomnia. Am Fam
Physician 2015;92(12):1058-1064. 3) Hooker S, Punjabi A, Justesen K, et al: Encouraging health behavior change: Eight
evidence-based strategies. Fam Pract Manag 2018;25(2):31-36.",,
Q2020-009,2020,"A 45-year-old female presents to the emergency department with a 1-week history of facial
swelling  and  progressive  dyspnea  with  exertion.  She  was  diagnosed  1  week  ago  with
non-Hodgkinâ€™s lymphoma but her medical history is otherwise unremarkable. A chest radiograph
is shown below.
After hospital admission, which one of the following would be the most appropriate next step
in the management of this condition?
A) Intravenous antibiotics
B) Urgent chemotherapy and radiation
C) Urgent chemotherapy and plasmapheresis
D) Urgent echocardiography
E) Urgent bronchoscopy

A) 
B) 
C) 
D) 
E) ",B,Cardiovascular,Predicted,1.034,,,Emergent and Urgent Care,0.652,Predicted,Treatment,high,"Higdon ML, Atkinson CJ, Lawrence KV: Oncologic emergencies: Recognition and initial management. Am Fam Physician 2018;97(11):741-748. | Zimmerman S, Davis M. Rapid fire: superior vena cava syndrome. Emerg Med Clin North Am. 2018;36(3):577-584.","Because of the prevalence of cancer in the United States, it is important for family physicians to recognize
oncologic emergencies. This patient presents with signs and symptoms related to superior vena cava
syndrome, which is caused by compression of the superior vena cava. This is most often caused by lung
cancer or lymphoma, but it can also be related to indwelling catheters, lymph nodes, or metastatic tumors.
After ensuring that the patient is hospitalized and stable, the initial treatment options include intravenous
corticosteroids, chemotherapy, radiation, and occasionally intravascular stenting.
3
Antibiotics are not warranted because this condition is not the result of an infection. Hyperviscosity
syndrome  is  another  oncologic  emergency  associated  with  leukemia,  multiple  myeloma,  and
WaldenstrÃ¶mâ€™s macroglobulinemia. It is treated with chemotherapy and plasmapheresis. Echocardiography
and bronchoscopy are not indicated in the initial management of superior vena cava syndrome.
Ref: Higdon ML, Atkinson CJ, Lawrence KV: Oncologic emergencies: Recognition and initial management. Am Fam Physician
2018;97(11):741-748. 2) Zimmerman S, Davis M: Rapid fire: Superior vena cava syndrome. Emerg Med Clin North Am
2018;36(3):577-584.",,
Q2020-010,2020,"A nonverbal 22-year-old male with intellectual disability is brought to your office by the staff
of the group home where he lives. They report that the patient has been functioning at his
baseline until this morning when he was found to have loud breathing. No other history is
available at the time of this visit.
On examination he has a temperature of 37.3Â°C (99.1Â°F), a blood pressure of 124/82 mm Hg,
a pulse rate of 100 beats/min, and a respiratory rate of 16/min. The patient appears to be in mild
distress and a high-pitched whistling, crowing sound on inspiration is heard as you walk in the
room.
Which one of the following would be the most appropriate next step for this patient?
A) Oral antibiotics
B) Oral corticosteroids
C) Nebulized albuterol
D) Nebulized epinephrine
E) Urgent evaluation in the emergency department
3
Item #9
4

A) 
B) 
C) 
D) 
E) ",E,Respiratory,Predicted,1.047,,,Emergent and Urgent Care,0.552,Predicted,Management,high,"Eskander A, de Almeida JR, Irish JC: Acute upper airway obstruction. N Engl J Med 2019;381(20):1940-1949.","Stridor is a high-pitched whistling, crowing sound on inspiration. It can be caused by obstruction of the
larynx or trachea by a foreign body, vocal cord edema, a neoplasm, or a pharyngeal abscess. Acute stridor
requires urgent evaluation for obstruction. This patient may have a foreign body or other obstruction in
his airway and requires urgent assessment. Oral antibiotics, oral corticosteroids, nebulized albuterol, or
nebulized epinephrine would not be appropriate at this time.
Ref: Eskander A, de Almeida JR, Irish JC: Acute upper airway obstruction. N Engl J Med 2019;381(20):1940-1949.",,
Q2020-011,2020,"A 16-year-old female presents with chronic acne on her nose, forehead, and chin consisting of
a few comedones and a few mildly inflamed papules and pustules. She says it is minimally
improved after 12 weeks of daily adapalene 0.1% gel. There are no scars or cysts. The patient
would like to try to achieve better control.
Which one of the following would you recommend at this time?
A) Continue adapalene 0.1% gel for 12 more weeks
B) Add clindamycin (Cleocin T) 1% gel for up to 12 weeks
C) Add clindamycin 1% gel for maintenance
D) Stop adapalene 0.1% gel and start clindamycin 1% gel for maintenance
E) Stop adapalene 0.1% gel and start erythromycin 2% gel for maintenance

A) 
B) 
C) 
D) 
E) ",B,Integumentary,Predicted,1.067,,,Acute Care and Diagnosis,0.307,Predicted,Management,high,"Ogé LK, Broussard A, Marshall MD: Acne vulgaris: Diagnosis and treatment. Am Fam Physician 2019;100(8):475-484.","Family physicians are often asked to manage mild to moderate acne vulgaris. Topical retinoids such as
adapalene and benzoyl peroxide are first-line therapy and a trial of therapy is typically 8â€“12 weeks. Topical
antibiotics may be added to topical retinoids or benzoyl peroxide to achieve better symptom control. To
decrease emerging antibiotic resistance, studies support limiting antibiotic use to 12 weeks except in severe
cases, not using antibiotics as monotherapy, and using clindamycin rather than erythromycin. Adding
clindamycin gel rather than erythromycin gel for up to 12 weeks is recommended for this patient at this
time.
Ref: OgÃ© LK, Broussard A, Marshall MD: Acne vulgaris: Diagnosis and treatment. Am Fam Physician 2019;100(8):475-484.",,
